time,mouse_key
2021-06-11T18:30:37.324,"{}"
2021-06-11T18:30:37.328,"{}"
2021-06-11T18:30:37.331,"{}"
2021-06-11T18:30:37.336,"{}"
2021-06-11T18:30:37.344,"{}"
2021-06-11T18:30:37.345,"{}"
2021-06-11T18:30:37.348,"{}"
2021-06-11T18:30:37.354,"{}"
2021-06-11T18:30:37.359,"{}"
2021-06-11T18:30:37.363,"{}"
2021-06-11T18:30:37.368,"{}"
2021-06-11T18:30:37.372,"{}"
2021-06-11T18:30:37.378,"{}"
2021-06-11T18:30:37.382,"{}"
2021-06-11T18:30:37.385,"{}"
2021-06-11T18:30:37.389,"{}"
2021-06-11T18:30:37.392,"{}"
2021-06-11T18:30:37.397,"{}"
2021-06-11T18:30:37.401,"{}"
2021-06-11T18:30:37.405,"{}"
2021-06-11T18:30:37.410,"{}"
2021-06-11T18:30:37.414,"{}"
2021-06-11T18:30:37.418,"{}"
2021-06-11T18:30:37.422,"{}"
2021-06-11T18:30:37.426,"{}"
2021-06-11T18:30:37.429,"{}"
2021-06-11T18:30:37.433,"{}"
2021-06-11T18:30:37.439,"{}"
2021-06-11T18:30:37.442,"{}"
2021-06-11T18:30:37.446,"{}"
2021-06-11T18:30:37.451,"{}"
2021-06-11T18:30:37.456,"{}"
2021-06-11T18:30:37.459,"{}"
2021-06-11T18:30:37.466,"{}"
2021-06-11T18:30:37.470,"{}"
2021-06-11T18:30:37.474,"{}"
2021-06-11T18:30:37.478,"{}"
2021-06-11T18:30:37.482,"{}"
2021-06-11T18:30:37.487,"{}"
2021-06-11T18:30:37.491,"{}"
2021-06-11T18:30:37.497,"{}"
2021-06-11T18:30:37.502,"{}"
2021-06-11T18:30:37.505,"{}"
2021-06-11T18:30:37.509,"{}"
2021-06-11T18:30:37.514,"{}"
2021-06-11T18:30:37.518,"{}"
2021-06-11T18:30:37.524,"{}"
2021-06-11T18:30:37.529,"{}"
2021-06-11T18:30:37.533,"{}"
2021-06-11T18:30:37.537,"{}"
2021-06-11T18:30:37.541,"{}"
2021-06-11T18:30:37.545,"{}"
2021-06-11T18:30:37.549,"{}"
2021-06-11T18:30:37.552,"{}"
2021-06-11T18:30:37.556,"{}"
2021-06-11T18:30:37.560,"{}"
2021-06-11T18:30:37.564,"{}"
2021-06-11T18:30:37.568,"{}"
2021-06-11T18:30:37.572,"{}"
2021-06-11T18:30:37.576,"{}"
2021-06-11T18:30:37.582,"{}"
2021-06-11T18:30:37.586,"{}"
2021-06-11T18:30:37.590,"{}"
2021-06-11T18:30:37.594,"{}"
