time,mouse_dx,mouse_dy,mouse_scroll
2021-06-11T18:30:37.324,0,0,0
2021-06-11T18:30:37.328,0,0,0
2021-06-11T18:30:37.331,0,0,0
2021-06-11T18:30:37.336,0,0,0
2021-06-11T18:30:37.344,0,0,0
2021-06-11T18:30:37.344,0,0,0
2021-06-11T18:30:37.348,0,0,0
2021-06-11T18:30:37.354,0,0,0
2021-06-11T18:30:37.359,0,0,0
2021-06-11T18:30:37.363,0,0,0
2021-06-11T18:30:37.368,0,0,0
2021-06-11T18:30:37.372,0,0,0
2021-06-11T18:30:37.378,0,0,0
2021-06-11T18:30:37.382,0,0,0
2021-06-11T18:30:37.385,0,0,0
2021-06-11T18:30:37.389,0,0,0
2021-06-11T18:30:37.392,0,0,0
2021-06-11T18:30:37.397,0,0,0
2021-06-11T18:30:37.401,0,0,0
2021-06-11T18:30:37.405,0,0,0
2021-06-11T18:30:37.410,0,0,0
2021-06-11T18:30:37.414,0,0,0
2021-06-11T18:30:37.418,0,0,0
2021-06-11T18:30:37.422,0,0,0
2021-06-11T18:30:37.426,0,0,0
2021-06-11T18:30:37.429,0,0,0
2021-06-11T18:30:37.433,0,0,0
2021-06-11T18:30:37.439,0,0,0
2021-06-11T18:30:37.442,0,0,0
2021-06-11T18:30:37.446,0,0,0
2021-06-11T18:30:37.451,0,0,0
2021-06-11T18:30:37.456,0,0,0
2021-06-11T18:30:37.459,0,0,0
2021-06-11T18:30:37.466,0,0,0
2021-06-11T18:30:37.469,0,0,0
2021-06-11T18:30:37.474,0,0,0
2021-06-11T18:30:37.478,0,0,0
2021-06-11T18:30:37.482,0,0,0
2021-06-11T18:30:37.487,0,0,0
2021-06-11T18:30:37.491,0,0,0
2021-06-11T18:30:37.496,0,0,0
2021-06-11T18:30:37.501,0,0,0
2021-06-11T18:30:37.505,0,0,0
2021-06-11T18:30:37.509,0,0,0
2021-06-11T18:30:37.514,0,0,0
2021-06-11T18:30:37.518,0,0,0
2021-06-11T18:30:37.524,0,0,0
2021-06-11T18:30:37.529,0,0,0
2021-06-11T18:30:37.533,0,0,0
2021-06-11T18:30:37.537,0,0,0
2021-06-11T18:30:37.542,0,0,0
2021-06-11T18:30:37.546,0,0,0
2021-06-11T18:30:37.550,0,0,0
2021-06-11T18:30:37.553,0,0,0
2021-06-11T18:30:37.557,0,0,0
2021-06-11T18:30:37.561,0,0,0
2021-06-11T18:30:37.565,0,0,0
2021-06-11T18:30:37.569,0,0,0
2021-06-11T18:30:37.573,0,0,0
2021-06-11T18:30:37.577,0,0,0
2021-06-11T18:30:37.583,0,0,0
2021-06-11T18:30:37.587,0,0,0
2021-06-11T18:30:37.591,0,0,0
2021-06-11T18:30:37.595,0,0,0
2021-06-11T18:30:37.599,0,0,0
2021-06-11T18:30:37.603,0,0,0
2021-06-11T18:30:37.607,0,0,0
2021-06-11T18:30:37.611,0,0,0
2021-06-11T18:30:37.615,0,0,0
2021-06-11T18:30:37.619,0,0,0
2021-06-11T18:30:37.623,0,0,0
2021-06-11T18:30:37.628,0,0,0
2021-06-11T18:30:37.632,0,0,0
2021-06-11T18:30:37.637,0,0,0
2021-06-11T18:30:37.640,0,0,0
2021-06-11T18:30:37.644,0,0,0
2021-06-11T18:30:37.648,0,0,0
2021-06-11T18:30:37.653,0,0,0
2021-06-11T18:30:37.657,0,0,0
2021-06-11T18:30:37.660,0,0,0
2021-06-11T18:30:37.664,0,0,0
2021-06-11T18:30:37.668,0,0,0
2021-06-11T18:30:37.673,0,0,0
2021-06-11T18:30:37.677,0,0,0
2021-06-11T18:30:37.681,0,0,0
2021-06-11T18:30:37.685,0,0,0
2021-06-11T18:30:37.689,0,0,0
