time,mouse_key
2021-06-07T14:52:36.825,"{}"
2021-06-07T14:52:36.829,"{}"
2021-06-07T14:52:36.833,"{}"
2021-06-07T14:52:36.838,"{}"
2021-06-07T14:52:36.841,"{}"
2021-06-07T14:52:36.845,"{}"
2021-06-07T14:52:36.849,"{}"
2021-06-07T14:52:36.853,"{}"
2021-06-07T14:52:36.857,"{}"
2021-06-07T14:52:36.861,"{}"
2021-06-07T14:52:36.865,"{}"
2021-06-07T14:52:36.870,"{}"
2021-06-07T14:52:36.874,"{}"
2021-06-07T14:52:36.880,"{}"
2021-06-07T14:52:36.885,"{}"
2021-06-07T14:52:36.888,"{}"
2021-06-07T14:52:36.893,"{}"
2021-06-07T14:52:36.897,"{}"
2021-06-07T14:52:36.900,"{}"
2021-06-07T14:52:36.904,"{}"
2021-06-07T14:52:36.908,"{}"
2021-06-07T14:52:36.913,"{}"
2021-06-07T14:52:36.917,"{}"
2021-06-07T14:52:36.920,"{}"
2021-06-07T14:52:36.924,"{}"
2021-06-07T14:52:36.928,"{}"
2021-06-07T14:52:36.932,"{}"
2021-06-07T14:52:36.936,"{}"
2021-06-07T14:52:36.940,"{}"
2021-06-07T14:52:36.944,"{}"
2021-06-07T14:52:36.949,"{}"
2021-06-07T14:52:36.952,"{}"
2021-06-07T14:52:36.956,"{}"
2021-06-07T14:52:36.961,"{}"
2021-06-07T14:52:36.966,"{}"
2021-06-07T14:52:36.970,"{}"
2021-06-07T14:52:36.974,"{}"
2021-06-07T14:52:36.979,"{}"
2021-06-07T14:52:36.983,"{}"
2021-06-07T14:52:36.986,"{}"
2021-06-07T14:52:36.990,"{}"
2021-06-07T14:52:36.994,"{}"
2021-06-07T14:52:36.998,"{}"
2021-06-07T14:52:37.002,"{}"
2021-06-07T14:52:37.006,"{}"
2021-06-07T14:52:37.010,"{}"
2021-06-07T14:52:37.014,"{}"
2021-06-07T14:52:37.019,"{}"
2021-06-07T14:52:37.024,"{}"
2021-06-07T14:52:37.028,"{}"
2021-06-07T14:52:37.032,"{}"
2021-06-07T14:52:37.036,"{}"
2021-06-07T14:52:37.043,"{}"
2021-06-07T14:52:37.048,"{}"
2021-06-07T14:52:37.052,"{}"
2021-06-07T14:52:37.056,"{}"
2021-06-07T14:52:37.060,"{}"
2021-06-07T14:52:37.064,"{}"
2021-06-07T14:52:37.067,"{}"
2021-06-07T14:52:37.072,"{}"
2021-06-07T14:52:37.076,"{}"
2021-06-07T14:52:37.080,"{}"
2021-06-07T14:52:37.084,"{}"
2021-06-07T14:52:37.088,"{}"
2021-06-07T14:52:37.092,"{}"
2021-06-07T14:52:37.096,"{}"
2021-06-07T14:52:37.100,"{}"
2021-06-07T14:52:37.104,"{}"
2021-06-07T14:52:37.108,"{}"
2021-06-07T14:52:37.112,"{}"
2021-06-07T14:52:37.116,"{}"
2021-06-07T14:52:37.120,"{}"
2021-06-07T14:52:37.124,"{}"
2021-06-07T14:52:37.128,"{}"
2021-06-07T14:52:37.132,"{}"
2021-06-07T14:52:37.136,"{}"
2021-06-07T14:52:37.140,"{}"
2021-06-07T14:52:37.144,"{}"
2021-06-07T14:52:37.148,"{}"
2021-06-07T14:52:37.152,"{}"
2021-06-07T14:52:37.158,"{}"
