time,mouse_dx,mouse_dy,mouse_scroll
2021-06-07T14:52:36.828,0,0,0
2021-06-07T14:52:36.831,0,0,0
2021-06-07T14:52:36.835,0,0,0
2021-06-07T14:52:36.840,0,0,0
2021-06-07T14:52:36.843,0,0,0
2021-06-07T14:52:36.847,0,0,0
2021-06-07T14:52:36.851,0,0,0
2021-06-07T14:52:36.855,0,0,0
2021-06-07T14:52:36.859,0,0,0
2021-06-07T14:52:36.863,0,0,0
2021-06-07T14:52:36.868,0,0,0
2021-06-07T14:52:36.872,0,0,0
2021-06-07T14:52:36.876,0,0,0
2021-06-07T14:52:36.881,0,0,0
2021-06-07T14:52:36.885,0,0,0
2021-06-07T14:52:36.888,0,0,0
2021-06-07T14:52:36.893,0,0,0
2021-06-07T14:52:36.897,0,0,0
2021-06-07T14:52:36.900,0,0,0
2021-06-07T14:52:36.904,0,0,0
2021-06-07T14:52:36.908,0,0,0
2021-06-07T14:52:36.913,0,0,0
2021-06-07T14:52:36.917,0,0,0
2021-06-07T14:52:36.922,0,0,0
2021-06-07T14:52:36.926,0,0,0
2021-06-07T14:52:36.930,0,0,0
2021-06-07T14:52:36.934,0,0,0
2021-06-07T14:52:36.938,0,0,0
2021-06-07T14:52:36.942,0,0,0
2021-06-07T14:52:36.946,0,0,0
2021-06-07T14:52:36.950,0,0,0
2021-06-07T14:52:36.954,0,0,0
2021-06-07T14:52:36.959,0,0,0
2021-06-07T14:52:36.965,0,0,0
2021-06-07T14:52:36.968,0,0,0
2021-06-07T14:52:36.973,0,0,0
2021-06-07T14:52:36.977,0,0,0
2021-06-07T14:52:36.982,0,0,0
2021-06-07T14:52:36.986,0,0,0
2021-06-07T14:52:36.990,0,0,0
2021-06-07T14:52:36.994,0,0,0
2021-06-07T14:52:36.998,0,0,0
2021-06-07T14:52:37.002,0,0,0
2021-06-07T14:52:37.006,0,0,0
2021-06-07T14:52:37.010,0,0,0
2021-06-07T14:52:37.014,0,0,0
2021-06-07T14:52:37.019,0,0,0
2021-06-07T14:52:37.024,0,0,0
2021-06-07T14:52:37.028,0,0,0
